UnitName,X,Y,Z,Length (m),Width (m),Thickness (m),ConfigFile,Label
Block0,0,0,0,0.0006,0.0006,5e-7,,Si
Block1,0.0006,0,0,0.0006,0.0006,5e-7,,Si
Block2,0.0012,0,0,0.0006,0.0006,5e-7,,Si
Block3,0,0.0006,0,0.0006,0.0006,5e-7,,Si
Block4,0.0012,0.0006,0,0.0006,0.0006,5e-7,,Si
Block5,0,0.0012,0,0.0006,0.0006,5e-7,,Si
Block6,0.0006,0.0012,0,0.0006,0.0006,5e-7,,Si
Block7,0.0012,0.0012,0,0.0006,0.0006,5e-7,,Si
