UnitName,Power_dyn,Power_leak
T0_Unit_0_0,4.765101195590626e-05,1.2706936521575003e-05
T0_Unit_0_1,5.439482747148807e-05,1.4505287325730153e-05
T0_Unit_0_2,6.879045010318126e-06,1.8344120027515004e-06
T0_Unit_0_3,4.5038085196268095e-05,1.2010156052338158e-05
T0_Unit_0_4,0.00014669457082675221,3.911855222046725e-05
T0_Unit_0_5,9.620599551402361e-05,2.565493213707296e-05
T0_Unit_0_6,2.7413533326714564e-06,7.310275553790549e-07
T0_Unit_0_7,0.00014056086981135358,3.748289861636095e-05
T0_Unit_0_8,8.367973854451344e-05,2.231459694520358e-05
T0_Unit_0_9,6.581033027246707e-05,1.754942140599122e-05
T0_Unit_0_10,5.974966116900426e-05,1.5933242978401134e-05
T0_Unit_0_11,0.000257676552791163,6.871374741097678e-05
T0_Unit_0_12,0.00018994465611676297,5.0651908297803446e-05
T0_Unit_0_13,0.0002457919400976305,6.554451735936814e-05
T0_Unit_0_14,0.0002553670091019363,6.809786909384967e-05
T0_Unit_0_15,0.00019206078830232614,5.121621021395364e-05
T0_Unit_0_16,2.371483486623702e-05,6.323955964329871e-06
T0_Unit_0_17,0.00028004231748122386,7.467795132832637e-05
T0_Unit_0_18,0.00037488539061191877,9.996943749651167e-05
T0_Unit_0_19,0.00010251832012306449,2.7338218699483858e-05
T0_Unit_0_20,0.00020702896776260998,5.520772473669599e-05
T0_Unit_0_21,0.0003485872682203844,9.295660485876917e-05
T0_Unit_0_22,0.0001106000828078337,2.9493355415422316e-05
T0_Unit_0_23,0.0003181669242367295,8.484451312979453e-05
T0_Unit_0_24,0.0003042812708136372,8.11416722169699e-05
T0_Unit_0_25,0.00028403141878075694,7.574171167486851e-05
T0_Unit_0_26,0.0002596217434266289,6.92324649137677e-05
T0_Unit_0_27,4.954450042342189e-05,1.321186677957917e-05
T0_Unit_0_28,0.00019002115493068855,5.067230798151694e-05
T0_Unit_0_29,0.00013930744996716395,3.714865332457705e-05
T0_Unit_0_30,0.00012389828385752952,3.303954236200787e-05
T0_Unit_0_31,2.643040605855515e-05,7.048108282281372e-06
T0_Unit_0_32,0.00022488796801490744,5.997012480397531e-05
T0_Unit_0_33,0.0003299521247993367,8.798723327982312e-05
