UnitName,Power_dyn,Power_leak
T1_Unit_0_0,4.7651011955906265e-05,1.2706936521575005e-05
T1_Unit_0_1,5.4394827471488066e-05,1.4505287325730151e-05
T1_Unit_0_2,6.879045010318126e-06,1.8344120027515004e-06
T1_Unit_0_3,4.50380851962681e-05,1.2010156052338158e-05
T1_Unit_0_4,0.0001466945708267522,3.911855222046725e-05
T1_Unit_0_5,9.62059955140236e-05,2.565493213707296e-05
T1_Unit_0_6,2.741353332671456e-06,7.310275553790548e-07
T1_Unit_0_7,0.00014056086981135358,3.748289861636095e-05
T1_Unit_0_8,8.367973854451344e-05,2.231459694520358e-05
T1_Unit_0_9,6.581033027246707e-05,1.754942140599122e-05
T1_Unit_0_10,5.974966116900426e-05,1.5933242978401134e-05
T1_Unit_0_11,0.000257676552791163,6.871374741097678e-05
T1_Unit_0_12,0.00018994465611676297,5.0651908297803446e-05
T1_Unit_0_13,0.0002457919400976305,6.554451735936814e-05
T1_Unit_0_14,0.0002553670091019363,6.809786909384967e-05
T1_Unit_0_15,0.0001920607883023261,5.121621021395364e-05
T1_Unit_0_16,2.3714834866237022e-05,6.323955964329872e-06
T1_Unit_0_17,0.0002800423174812238,7.467795132832637e-05
T1_Unit_0_18,0.00037488539061191877,9.996943749651168e-05
T1_Unit_0_19,0.00010251832012306447,2.7338218699483858e-05
T1_Unit_0_20,0.00020702896776261,5.5207724736696e-05
T1_Unit_0_21,0.00034858726822038435,9.295660485876916e-05
T1_Unit_0_22,0.00011060008280783369,2.949335541542232e-05
T1_Unit_0_23,0.0003181669242367295,8.484451312979453e-05
T1_Unit_0_24,0.0003042812708136372,8.114167221696991e-05
T1_Unit_0_25,0.00028403141878075694,7.574171167486851e-05
T1_Unit_0_26,0.00025962174342662893,6.92324649137677e-05
T1_Unit_0_27,4.954450042342189e-05,1.321186677957917e-05
T1_Unit_0_28,0.00019002115493068852,5.0672307981516936e-05
T1_Unit_0_29,0.00013930744996716395,3.714865332457705e-05
T1_Unit_0_30,0.00012389828385752952,3.3039542362007864e-05
T1_Unit_0_31,2.643040605855515e-05,7.048108282281372e-06
T1_Unit_0_32,0.0002248879680149074,5.9970124803975304e-05
T1_Unit_0_33,0.00032995212479933666,8.798723327982312e-05
T1_Unit_0_34,0.00020574267309375458,5.4864712825001223e-05
T1_Unit_0_35,0.0003551041122557422,9.469442993486458e-05
T1_Unit_0_36,0.0001937956166687282,5.167883111166086e-05
T1_Unit_0_37,0.0002931157414300467,7.81641977146791e-05
T1_Unit_0_38,1.0677167081969873e-05,2.8472445551919656e-06
T1_Unit_0_39,9.834403671843841e-05,2.622507645825024e-05
T1_Unit_0_40,0.00018285464483245664,4.876123862198842e-05
T1_Unit_0_41,3.0410145918430627e-05,8.109372244914832e-06
T1_Unit_0_42,7.943274044433491e-05,2.1182064118489308e-05
T1_Unit_0_43,0.00010919386864969468,2.911836497325191e-05
T1_Unit_0_44,0.0002558287413718764,6.822099769916701e-05
T1_Unit_0_45,0.0002547565184547888,6.793507158794365e-05
